Service discovery failed DEVICE:zxc [8 Mar 2011 09:03:30 GMT]
Service discovery failed DEVICE:ty [8 Mar 2011 09:03:40 GMT]
Device or resource busy DEVICE:11 [8 Mar 2011 09:15:41 GMT]
Device or resource busy DEVICE:13 [8 Mar 2011 09:15:42 GMT]
Device or resource busy DEVICE:08 [8 Mar 2011 09:15:42 GMT]
Service discovery failed DEVICE:07 [8 Mar 2011 09:15:49 GMT]
Service discovery failed DEVICE:HTC Dream [8 Mar 2011 09:15:55 GMT]
13 cancled election initiation [8 Mar 2011 09:26:04 GMT]
11 cancled election initiation [8 Mar 2011 09:26:04 GMT]
11 cancled election initiation [8 Mar 2011 09:36:13 GMT]
Service discovery failed DEVICE:07 [8 Mar 2011 10:19:55 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 11:12:16 GMT]
Service discovery failed DEVICE:11 [8 Mar 2011 11:31:49 GMT]
Service discovery failed DEVICE:07 [8 Mar 2011 12:18:47 GMT]
ty cancled election initiation [8 Mar 2011 12:18:53 GMT]
zxc cancled election initiation [8 Mar 2011 12:18:53 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 12:31:42 GMT]
Service discovery failed DEVICE:HTC Dream [8 Mar 2011 13:20:59 GMT]
Service discovery failed DEVICE:ty [8 Mar 2011 13:21:05 GMT]
Service discovery failed DEVICE:07 [8 Mar 2011 13:21:11 GMT]
11 cancled election initiation [8 Mar 2011 13:38:04 GMT]
Service discovery failed DEVICE:11 [8 Mar 2011 13:50:22 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 13:50:27 GMT]
Service discovery failed DEVICE:HTC Dream [8 Mar 2011 13:50:32 GMT]
Service discovery failed DEVICE:08 [8 Mar 2011 14:37:31 GMT]
11 cancled election initiation [8 Mar 2011 14:37:36 GMT]
11 cancled election initiation [8 Mar 2011 14:54:02 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 15:08:29 GMT]
Service discovery failed DEVICE:HTC Dream [8 Mar 2011 15:08:34 GMT]
08 cancled election initiation [8 Mar 2011 15:08:42 GMT]
Service discovery failed DEVICE:11 [8 Mar 2011 15:32:20 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 15:47:00 GMT]
HTC Dream cancled election initiation [8 Mar 2011 15:47:02 GMT]
08 cancled election initiation [8 Mar 2011 15:47:02 GMT]
Service discovery failed DEVICE:11 [8 Mar 2011 16:00:55 GMT]
zxc cancled election initiation [8 Mar 2011 16:29:37 GMT]
Service discovery failed DEVICE:HTC Dream [8 Mar 2011 16:43:59 GMT]
11 cancled election initiation [8 Mar 2011 16:44:09 GMT]
13 cancled election initiation [8 Mar 2011 16:44:09 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 17:32:24 GMT]
Service discovery failed DEVICE:08 [8 Mar 2011 17:36:27 GMT]
Connection timed out DEVICE:11 [8 Mar 2011 18:04:18 GMT]
Connection reset by peer DEVICE:13 [8 Mar 2011 18:04:22 GMT]
Service discovery failed DEVICE:08 [8 Mar 2011 18:04:27 GMT]
HTC Dream cancled election initiation [8 Mar 2011 18:04:27 GMT]
Service discovery failed DEVICE:HTC Dream [8 Mar 2011 18:08:08 GMT]
Service discovery failed DEVICE:zxc [8 Mar 2011 18:36:52 GMT]
13 cancled election initiation [8 Mar 2011 18:36:59 GMT]
zxc cancled election initiation [8 Mar 2011 18:56:10 GMT]
Service discovery failed DEVICE:HTC Dream [8 Mar 2011 20:12:46 GMT]
Service discovery failed DEVICE:zxc [8 Mar 2011 20:27:19 GMT]
08 cancled election initiation [8 Mar 2011 20:27:20 GMT]
HTC Dream cancled election initiation [8 Mar 2011 20:27:20 GMT]
13 cancled election initiation [8 Mar 2011 20:39:32 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 20:49:29 GMT]
HTC Dream cancled election initiation [8 Mar 2011 20:49:32 GMT]
Service discovery failed DEVICE:08 [8 Mar 2011 21:53:59 GMT]
Service discovery failed DEVICE:HTC Dream [8 Mar 2011 21:54:05 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 21:54:10 GMT]
16:29:44STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 7
HTC Dream cancled election initiation [8 Mar 2011 22:57:26 GMT]
HTC Dream cancled election initiation [8 Mar 2011 23:20:09 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 23:31:29 GMT]
08 cancled election initiation [8 Mar 2011 23:31:31 GMT]
Service discovery failed DEVICE:13 [8 Mar 2011 23:42:57 GMT]
08 cancled election initiation [8 Mar 2011 23:42:57 GMT]
