23:36:45, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:38:09, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:38:09, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:38:09, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:38:51, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:38:51, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:39:33, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:39:33, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:40:14, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:40:15, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:40:57, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:40:57, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:42:59, 00:23:D4:6A:87:DE, 192.168.1.5, false
23:43:02, 00:23:D4:6A:87:DE, 192.168.1.13, true
23:43:02, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:44:26, 00:23:D4:6A:87:DE, 192.168.1.13, true
23:44:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:45:08, 00:23:D4:6A:87:DE, 192.168.1.13, true
23:45:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:45:46, 00:23:D4:6A:87:DE, 192.168.1.5, false
23:45:47, 00:23:D4:6A:87:DE, 192.168.1.16, true
23:45:47, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:45:50, 00:23:D4:6A:87:DE, 192.168.1.13, true
23:45:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:46:28, 00:23:D4:6A:87:DE, 192.168.1.5, false
23:46:28, 00:23:D4:6A:87:DE, 192.168.1.16, true
23:46:28, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:46:32, 00:23:D4:6A:87:DE, 192.168.1.13, true
23:46:32, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:47:10, 00:23:D4:6A:87:DE, 192.168.1.5, false
23:47:10, 00:23:D4:6A:87:DE, 192.168.1.16, true
23:47:10, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:47:14, 00:23:D4:6A:87:DE, 192.168.1.13, true
23:47:14, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:47:52, 00:23:D4:6A:87:DE, 192.168.1.16, true
23:47:52, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:51:22, 00:23:D4:6A:87:DE, 192.168.1.5, false
23:52:05, 00:23:D4:6A:87:DE, 192.168.1.4, false
23:52:45, 00:23:D4:6A:87:DE, 192.168.1.5, false
23:55:33, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:55:33, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:55:37, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:57:01, 00:23:D4:6A:87:DE, 192.168.1.2, false
23:57:01, 00:23:D4:6A:87:DE, 192.168.1.12, true
23:57:01, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:57:39, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:57:39, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:57:39, 00:23:D4:6A:87:DE, 192.168.1.5, false
23:59:03, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:59:03, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:59:44, 00:23:D4:6A:87:DE, 192.168.1.14, true
23:59:45, 00:23:D4:6A:87:DE, GARBAGE IP, true
23:59:45, 00:23:D4:6A:87:DE, 192.168.1.5, false
00:01:12, 00:23:D4:6A:87:DE, 192.168.1.4, false
00:01:51, 00:23:D4:6A:87:DE, 192.168.1.5, false
00:01:54, 00:23:D4:6A:87:DE, 192.168.1.4, false
00:04:38, 00:23:D4:6A:87:DE, 192.168.1.5, false
00:05:22, 00:23:D4:6A:87:DE, 192.168.1.4, false
00:06:02, 00:23:D4:6A:87:DE, 192.168.1.5, false
00:06:04, 00:23:D4:6A:87:DE, 192.168.1.4, false
00:06:46, 00:23:D4:6A:87:DE, 192.168.1.4, false
00:07:27, 00:23:D4:6A:87:DE, 192.168.1.4, false
00:08:51, 00:23:D4:6A:87:DE, 192.168.1.4, false
00:10:56, 00:23:D4:6A:87:DE, 192.168.1.4, false
00:14:22, 00:23:D4:6A:87:DE, 192.168.1.14, true
00:14:22, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:15:46, 00:23:D4:6A:87:DE, 192.168.1.14, true
00:15:47, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:15:50, 00:23:D4:6A:87:DE, 192.168.1.12, true
00:15:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
00:16:28, 00:23:D4:6A:87:DE, 192.168.1.14, true
00:16:28, 00:23:D4:6A:87:DE, GARBAGE IP, true
