14:43:10, 00:23:D4:6A:BF:DE, 192.168.1.8, true
14:43:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:43:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:43:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:43:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
14:44:39, 00:23:D4:6A:BF:DE, GARBAGE, true
14:47:20, 00:23:D4:6A:BF:DE, GARBAGE, true
14:54:55, 00:23:D4:6A:BF:DE, GARBAGE, true
14:54:58, 00:23:D4:6A:BF:DE, GARBAGE, true
14:56:49, 00:23:D4:6A:BF:DE, GARBAGE, true
15:03:16, 00:23:D4:6A:BF:DE, GARBAGE, true
15:07:08, 00:23:D4:6A:BF:DE, GARBAGE, true
15:10:28, 00:23:D4:6A:BF:DE, GARBAGE, true
15:19:53, 00:23:D4:6A:BF:DE, GARBAGE, true
15:21:44, 00:23:D4:6A:BF:DE, GARBAGE, true
15:23:25, 00:23:D4:6A:BF:DE, 192.168.1.1, true
15:23:25, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:23:25, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:23:28, 00:23:D4:6A:BF:DE, 192.168.1.8, true
15:23:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:23:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:23:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:32:19, 00:23:D4:6A:BF:DE, GARBAGE, true
15:40:12, 00:23:D4:6A:BF:DE, 192.168.1.9, true
15:40:12, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:40:12, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:40:12, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:40:12, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:40:18, 00:23:D4:6A:BF:DE, GARBAGE, true
15:40:54, 00:23:D4:6A:BF:DE, 192.168.1.9, true
15:40:54, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:40:54, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:40:54, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:40:54, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:43:00, 00:23:D4:6A:BF:DE, GARBAGE, true
15:57:40, 00:23:D4:6A:BF:DE, GARBAGE, true
15:59:05, 00:23:D4:6A:BF:DE, 192.168.1.9, true
15:59:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:59:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:59:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
15:59:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:01:30, 00:23:D4:6A:BF:DE, 192.168.1.8, true
16:01:30, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:01:30, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:01:30, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:01:30, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:02:12, 00:23:D4:6A:BF:DE, 192.168.1.8, true
16:02:12, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:02:12, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:02:12, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:02:12, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:10:09, 00:23:D4:6A:BF:DE, GARBAGE, true
16:10:38, 00:23:D4:6A:BF:DE, GARBAGE, true
16:15:17, 00:23:D4:6A:BF:DE, GARBAGE, true
16:19:20, 00:23:D4:6A:BF:DE, GARBAGE, true
16:21:00, 00:23:D4:6A:BF:DE, 192.168.1.1, true
16:21:00, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:24:14, 00:23:D4:6A:BF:DE, GARBAGE, true
16:28:04, 00:23:D4:6A:BF:DE, 192.168.1.9, true
16:28:04, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:28:04, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:28:04, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:28:45, 00:23:D4:6A:BF:DE, 192.168.1.9, true
16:28:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:28:46, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:28:46, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:29:28, 00:23:D4:6A:BF:DE, 192.168.1.9, true
16:29:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:29:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:29:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:29:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:30:52, 00:23:D4:6A:BF:DE, 192.168.1.9, true
16:30:52, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:30:52, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:30:52, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:30:52, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:31:33, 00:23:D4:6A:BF:DE, 192.168.1.9, true
16:31:33, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:31:34, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:31:34, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:31:34, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:32:04, 00:23:D4:6A:BF:DE, GARBAGE, true
16:36:35, 00:23:D4:6A:BF:DE, GARBAGE, true
16:41:03, 00:23:D4:6A:BF:DE, GARBAGE, true
16:45:47, 00:23:D4:6A:BF:DE, GARBAGE, true
16:51:58, 00:23:D4:6A:BF:DE, 192.168.1.2, true
16:51:58, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:52:40, 00:23:D4:6A:BF:DE, 192.168.1.2, true
16:52:40, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:53:22, 00:23:D4:6A:BF:DE, 192.168.1.2, true
16:53:22, 00:23:D4:6A:BF:DE, GARBAGE IP, true
16:53:33, 00:23:D4:6A:BF:DE, GARBAGE, true
16:58:01, 00:23:D4:6A:BF:DE, GARBAGE, true
17:02:51, 00:23:D4:6A:BF:DE, GARBAGE, true
17:10:38, 00:23:D4:6A:BF:DE, GARBAGE, true
